id,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
1,1.18597E+15,1.1947E+15,7.44813E+14,,,(202) 448-1450,,,,,
2,1.29755E+15,9.48442E+14,,,,(202) 483-8916,,,,,
3,1.13512E+15,5.8072E+14,7.26173E+14,,,202-437-5643,,voice,,,
4,8.9045E+14,9.58477E+14,1.25782E+15,,,(202) 723-5377,,voice,,,
5,8.58837E+14,"834,460,550,368,169,000,000,000,000,000",6.18998E+14,,,(202) 265-2400,,,,,
6,9.79564E+14,,1.141E+15,,,240.491.5753,,voice,,Employment,
7,7.76794E+14,,1.20564E+15,,,202-347-0511,,,,,
8,1.27791E+15,8.59897E+14,6.09227E+14,,,(202) 393-1909,,,,,
9,,1.21942E+15,,,,(202) 797-4454,,,,,
10,8.4814E+14,,1.03482E+15,,,(202) 462-4330,,,,,
11,,1.25279E+15,,,,(202) 797-8806,,,,,
13,8.16302E+14,"1,182,157,958,552,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",5.80772E+14,,,202-518-0466,,voice,,,
14,,8.72824E+14,,,,(202) 420-7028,,,,,
15,9.03037E+14,1.22983E+15,5.97291E+14,,,(202) 487-8698,,voice,,We Are Family DC,
16,1.18343E+15,1.099E+15,7.95756E+14,,,(240) 594-0600,,voice,,Ayuda MD office,
17,9.59373E+14,,,,,(202) 347-0130,,fax,,,
18,1.16164E+15,,1.32616E+15,,,202-581-0490,,voice,,,
19,,9.63237E+14,1.14622E+15,recwENKzSRp0lPRjp,,(202) 540-1056,,voice,,,
20,9.11858E+14,"1,210,007,334,289,330,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",9.48114E+14,,,(202) 518-6737,,voice,,,
21,6.08498E+14,"11,727,935,800,600,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",9.64889E+14,,,202-388-0033,,voice,,,
22,9.94309E+14,"1,174,068,491,618,790,000,000,000,000,000",1.1507E+15,,,(202) 561-5941,,voice,,Outreach Center,
23,,9.3442E+14,,,,(202) 469-4699,,,,,
24,1.22002E+15,"11,901,834,382,770,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1.04325E+15,,,(202) 452-8926,,voice,,,
25,9.04892E+14,"11,228,976,717,159,600,000,000,000,000,000,000,000,000,000,000",,,,301.333.0500,,voice,,,
26,,5.74662E+14,,,,(202) 830-3517,,,,,
27,9.45082E+14,1.0776E+15,8.07868E+14,,,(202) 296-4455,,,,,
28,1.1066E+15,"953,668,428,109,766,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1.32366E+15,,,(202) 610-9600,,voice,,,
29,9.65471E+14,,1.1806E+15,,,(301) 588-1126,,fax,,,
30,,8.21678E+14,,,,(202) 508-0500,,,,,
31,,8.87937E+14,1.15457E+15,,,(202) 727-1616,,voice,,Phone line for DC Public Library Adult Literacy Resource Center,
32,6.20133E+14,1.14569E+15,,,,202-574-6055,,voice,,United Medical Center PCC Office,
33,,8.33156E+14,,,,(202) 469-4699,,,,,
34,"8,033,433,218,422,640,000,000,000,000,000",8.93656E+14,,,,(202) 635-1041,,voice,,,
35,8.43095E+14,"8,959,734,681,500,970,000,000,000,000,000",1.24524E+15,,,(202) 544-3150,,voice,,Everyone Home DC Shirley's Place Day Center,
36,8.65063E+14,"943,023,691,666,873,000,000,000,000,000",6.05622E+14,,,(866) 942-0143,,voice,,,
37,,9.24655E+14,7.61154E+14,recLiWMA0NE98vTRX,,202-238-4691,,voice,,,
38,"923,653,351,035,648,000,000,000,000,000",,"908,756,987,447,173,000,000,000,000,000",,,(202) 797-8806,,,,,
39,8.67684E+14,,8.06677E+14,,,(202) 223-9550,,,,,
40,1.27013E+15,,9.1969E+14,,,5712497069,,voice,,,
41,,5.66502E+14,1.1806E+15,,,202-364-0020,,voice,,,
42,,1.18505E+15,8.72299E+14,reccBrXxhqdk7Ksvx,,(202) 670-9644,,voice,,,
43,6.4174E+14,"71,304,609,533,147,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1.16935E+15,,,(202) 876-5690,,voice,,,
44,,"11,474,079,829,120,500,000,000,000,000,000,000,000,000,000,000",8.40733E+14,,,(202) 851-3971,,voice,,Sexual health hotline,
45,1.1542E+15,,8.88574E+14,,,(703) 696-3510,,,,,
46,1.28332E+15,,,,,301-765-5694,,fax,,,
47,7.767E+14,,1.27923E+15,,,(202) 328-6609,,,,,
48,1.2864E+15,"8,814,033,449,649,720,000,000,000,000,000",9.083E+14,,,(202) 758-3710,,voice,,,
49,,"1,210,697,117,152,570,000,000,000,000,000",,recubrK50dihcWVJK,,202-448-1442,,,,,
50,,"12,593,496,652,376,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",8.40733E+14,,,202) 487-9074,,voice,,After hours line,
51,1.26192E+15,,1.31905E+15,,,(202) 292-4440,,,,,
52,6.88457E+14,"573,528,188,325,499,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1.28641E+15,,,202.546.0017,,voice,,,
53,,9.36643E+14,,,,202-476-2118,,voice,,,
54,,"12,132,305,855,419,200,000,000,000,000,000",7.61154E+14,recuHMlu3ZWg36a5I,,(202) 238-4733,,voice,,,
