id,organization_id,name,alternate_name,description,transportation,latitude,longitude
1,1.29E+15,"645 H Street, NE, WDC 20002",,,,38.899988,-76.9964478
2,6.64E+14,"924 G Street NW Washington, DC 20001",,,,38.8979969,-77.025103
3,1.09E+15,Anacostia Road Apartments,,,,38.8747834,-76.9654987
4,0,"65 Massachusetts Avenue NW Washington, DC, 20001, US",,,,,
5,0,"Family and Medical Counseling Services, Inc.",,,,38.8659856,-76.9897776
6,7.61E+14,Ralph Waldo 'Petey' Greene Community Service Center,,,,38.8460534,-76.9971121
7,0,"810 5th Street NW Washington, DC, 20001, US",,,,,
8,1.12E+15,Central American Resource Center,,,,38.9271876,-77.0344749
9,1.01E+15,Goodwill of Washington DC,,Both career center and retail store.,,38.9201573,-76.9583828
10,5.78E+14,Casa Ruby,,,,38.981673,-77.026926
11,0,"2100 New York Avenue NE Washington, DC, 20002, US",,,,,
12,1.31E+15,Sasha Bruce - Transitional Living Program,,,,38.8839641,-76.9296229
13,1.32E+15,LAYC - DC Safe Drop-in Center,,,,38.9282971,-77.0357794
14,1.33E+15,Taylor Street,,,,38.9410507,-77.02775
15,9.29E+14,"7603 Georgia Avenue Nw Washington, DC 20012",,,,38.9819508,-77.026198
16,1.31E+15,Sasha Bruce - Promise Place,,,,38.8851122,-76.9158068
17,1.09E+15,Park Road Transitional Program,,,,38.9307935,-77.0305165
18,1.33E+15,MLK Jr. Ave.,,,,38.8659856,-76.9897776
19,1.09E+15,La Casa Transitional Rehabilitation Program (TRP),,,,38.9363756,-77.0291455
20,1.12E+15,"1667 Good Hope Road SE Washington, DC 20020",,,,38.8655348,-76.9797426
21,1.09E+15,Mickey Leland House,,,,38.914732,-77.0177099
22,1.01E+15,Hughes Memorial UMC,,,,38.8905358,-76.9254723
23,6.44E+14,First Rising Mt. Zion Baptist Church,,,,38.9070032,-77.0203979
24,0,"555 L Street SE Washington, DC, 20003, US",,,,,
25,6.42E+14,St. Philip the Evangelist Episcopal Church,,,,38.8655385,-76.9858177
26,8.37E+14,"600 5th Street NW Washington, DC 20001",,,,38.8979138,-77.0194727
27,8.66E+14,"Washington, DC Campus",,,,38.8568383,-76.9702919
28,0,,,,,,
29,5.59E+14,"2000 P St NW Suite 240, Washington DC 20036",,,,,
30,0,,,,,,
31,6.92E+14,A Wider Circle Center for Community Service,,,,39.005589,-77.0487557
32,0,,,,,,
33,0,Silver Spring United Methodist Church- Four Corners Campus,,,,39.0197045,-77.0125189
34,8.04E+14,"75 P Street NE Washington, DC 20002",,,,38.9096198,-77.0075199
35,1.11E+15,La Casa Transitional Housing,,,,38.9363756,-77.0291455
36,0,"1355 New York Avenue NE Washington, DC, 20002, US",,,,,
37,1.21E+15,D.C. Department of Employment Services (DOES),,,,38.8970435,-76.9478322
38,1.22E+15,United Medical Center,,,,38.8359393,-76.9849936
39,0,"1525 14th St NW Washington, DC 20005",,,,,
40,6.13E+14,Mazique at Reeves,,,,38.9175547,-77.0324732
41,8.41E+14,Petworth Health Center,,,,38.9392032,-77.0255908
42,8.72E+14,OIC/DC Headquarters,,,,38.8378534,-77.0064932
43,9.23E+14,"899 N Capitol Street NE Washington, DC 20002",,,,38.9010559,-77.0085403
44,1.17E+15,Vida Adams Morgan,,,,38.9230553,-77.0444604
45,6.08E+14,Paramount Baptist Church,,,,38.8321096,-77.0002617
46,9.15E+14,Lutheran Church of the Reformation,,,,38.8900657,-77.0028518
47,0,"3240 Stanton Road SE Washington, DC, 20020, US",,,,,
48,9.65E+14,DC Center for Independent Living - Main Office,,,,38.9236657,-76.990551
49,9.74E+14,"821 Howard Road SE Washington, DC 20020",,,,38.8638768,-76.9980495
50,1.17E+15,Advocates for Justice and Education - Georgia Ave,,,,38.9392032,-77.0255908
51,8.72E+14,OIC/DC Training Center,,,,38.844416,-76.99761
52,0,"19 Eye Street NW Washington, DC 20001",,,,,
53,8.87E+14,"250 E Street SW Washington, DC 20024",,,,38.8828972,-77.014434
54,6.59E+14,"3720 Martin Luther King Jr. Ave SE Washington, DC 20032",,,,38.8369919,-77.0061558
55,8.20E+14,NLSP Southeast Office,,,,38.8732232,-76.9719346
56,1.31E+15,"2804 South East Maryland Avenue Washington, DC 20032",,,,,
57,9.25E+14,Ionia R. Whipper Home Program Facility,,,,38.9226203,-76.9758499
58,1.22E+15,McClendon Center Day Program and Administrative Offices,,,,38.8999882,-77.0311238
59,1.28E+15,"McKenna's Wagon 15th and K Streets, NW",,,,38.9024168,-77.0345695
60,1.17E+15,Vida Brightwood,,,,38.9614631,-77.0315061
61,8.81E+14,"4125 Albemarle Street NW Washington, DC 20016",,,,38.9481931,-77.0816737
62,0,Gorlitz Kensington Club at Parklawn,,,,39.0588554,-77.111526
63,1.29E+15,Virginia Williams Family Resource Center,,,,38.9230157,-76.9930174
64,1.28E+15,Northwest Center,,,,38.924407,-77.0405135
65,7.06E+14,Congress Heights Campus,,,,38.8427636,-76.9999917
